商品id,商品名称,商品主图,商品详情页链接地址,店铺名称,商品价格(单位：元),商品月销量,收入比率(%),佣金,卖家旺旺,淘宝客短链接(300天内有效),淘宝客链接,淘口令(30天内有效),优惠券总量,优惠券剩余量,优惠券面额,优惠券开始时间,优惠券结束时间,优惠券链接,优惠券淘口令(30天内有效),优惠券短链接(300天内有效),是否为营销计划商品,成团人数,成团价,成团佣金,拼团开始时间,拼团结束时间
614252180627,月芝猫【海棠梨】汉服女汉元素国风古风连衣裙改良中国风齐胸襦裙,https://img.alicdn.com/i1/1031828284/O1CN01TE9kkr2B47bGw1pbG_!!1031828284-0-lubanu-s.jpg,http://item.taobao.com/item.htm?id=614252180627,月芝猫旗舰店,279,54,1.8,4.66,月芝猫旗舰店,https://s.click.taobao.com/8bpnghv,https://s.click.taobao.com/t?e=m%3D2%26s%3DC7k6cSn7jsBw4vFB6t2Z2ueEDrYVVa64Dne87AjQPk9yINtkUhsv0MIHNfg1e3d6DhMXFvQbiGTtCmfOQUcFIlSwgggofB32be0285%2FWpbJH8YQcwA8a%2FBrCMvRnLmmTUyNpxLfgKr0jWpzpm6nEC9Nbw8D4TCbfiI18D1bOrGZ71oEXibE%2BoACblIydzrJ4xgxdTc00KD8%3D&union_lens=lensId%3AOPT%401590339021%400b5c327f_1064_1724797aa30_c721%4001,￥euek1JOclOG￥,10000,9977,20.0,2020-05-21 00:00:00,2020-05-27 23:59:59,https://uland.taobao.com/coupon/edetail?e=HdqxVVoee1ENfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoIcId5oZr9%2BsyqrV5tq%2FTkEyqB58NrSfgGX%2FMh2gj3EwcuRTiT9oEhVZV8pr6FWc0OAnBE6yaPfetPmhjHq05DEmMHpNfYdHdD%2FawWiow74mICnqiGk4FiOLJ3bdz5Kbzzmt4OzLcG%2Bof41o1IfXjc7onv6QcvcARY%3D&&app_pvid=59590_11.92.50.127_539_1590339021307&ptl=floorId:31507;app_pvid:59590_11.92.50.127_539_1590339021307;tpp_pvid:&union_lens=lensId%3AOPT%401590339021%400b5c327f_1064_1724797aa30_c721%4001,￥BcgZ1JOX9Ku￥,https://s.click.taobao.com/8Hlnghv,是,,,,,
617497076103,汉服女中国风民国风女装仙气飘逸夏季薄款唐装汉元素日常可穿古装,https://img.alicdn.com/i2/3160411956/O1CN01eoFq4j1QJtIvGSRD6_!!3160411956-0-lubanu-s.jpg,http://item.taobao.com/item.htm?id=617497076103,登思悦旗舰店,218,53,9,10.62,登思悦旗舰店,https://s.click.taobao.com/L3mnghv,https://s.click.taobao.com/t?e=m%3D2%26s%3DB%2Brk01dgCb1w4vFB6t2Z2ueEDrYVVa64Dne87AjQPk9yINtkUhsv0MIHNfg1e3d6DhMXFvQbiGTtCmfOQUcFIlSwgggofB32be0285%2FWpbJH8YQcwA8a%2FBrCMvRnLmmTUyNpxLfgKr0jWpzpm6nECz6oL5UBbln8wBVDpq7DxGvwo%2FSVDsHMj%2B2XePjWzk8qxgxdTc00KD8%3D&union_lens=lensId%3AOPT%401590339021%400b5c327f_1064_1724797aa5d_c722%4001,￥ims21JOXltL￥,10000,9952,100.0,2020-05-23 00:00:00,2020-05-27 23:59:59,https://uland.taobao.com/coupon/edetail?e=MbC%2B5dU%2FD5oNfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoLq2GY%2BSCi6WjT1ohKzX%2FynWUBHuFP1DAnrjcfTu%2FOQ%2BMuRTiT9oEhVZV8pr6FWc0OhZxPjf8o8tVvnaIY4ktGAmMHpNfYdHdD%2FawWiow74mICnqiGk4FiOLJ3bdz5Kbzzmt4OzLcG%2Bof41o1IfXjc7onv6QcvcARY%3D&&app_pvid=59590_11.92.50.127_539_1590339021307&ptl=floorId:31507;app_pvid:59590_11.92.50.127_539_1590339021307;tpp_pvid:&union_lens=lensId%3AOPT%401590339021%400b5c327f_1064_1724797aa5d_c722%4001,￥Y1bL1JOcGpi￥,https://s.click.taobao.com/nmlnghv,是,,,,,
618032535298,2020新款夏季汉服女襦裙原创古装改良版汉元素学生对襟齐胸白菜价,https://img.alicdn.com/i4/2455193239/O1CN01apU4JZ1ZnVSHpBhbC_!!2455193239.jpg,http://item.taobao.com/item.htm?id=618032535298,椿巾红,168,40,4.5,6.66,积土成山6911,https://s.click.taobao.com/Blknghv,https://s.click.taobao.com/t?e=m%3D2%26s%3DprtipwFaGhFw4vFB6t2Z2ueEDrYVVa64juWlisr3dOdyINtkUhsv0MIHNfg1e3d6DhMXFvQbiGTtCmfOQUcFIlSwgggofB32be0285%2FWpbJH8YQcwA8a%2FBrCMvRnLmmTUyNpxLfgKr0jWpzpm6nEC9J4V%2Bsm4NTDXntVbg76jvM9ClT2d5Y9Y0sXZWRkLpSAomfkDJRs%2BhU%3D&union_lens=lensId%3AOPT%401590339021%400b5c327f_1064_1724797aa84_c739%4001,￥G3R51JOcQ7B￥,1000,952,20.0,2020-05-05 00:00:00,2020-05-31 23:59:59,https://uland.taobao.com/coupon/edetail?e=dP86ilPWW3oNfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoLr6hV4kBpl6V%2BaT3EPPMhter4zVluZDfF%2Bue4%2FfKYP8muFqp8TFaHMNg4Gqf8CT4CMA9d3IyPqpJ7rGwcJE%2BD3mMHpNfYdHdD%2FawWiow74mICnqiGk4FiOLJ3bdz5Kbzzmt4OzLcG%2BoXaC54LfKGbLonv6QcvcARY%3D&&app_pvid=59590_11.92.50.127_539_1590339021307&ptl=floorId:31507;app_pvid:59590_11.92.50.127_539_1590339021307;tpp_pvid:&union_lens=lensId%3AOPT%401590339021%400b5c327f_1064_1724797aa84_c739%4001,￥SeeQ1JOXM3I￥,https://s.click.taobao.com/L5onghv,否,,,,,
614066001169,宋裤三件套汉服原创正品女中国风夏季新款宋制全套对襟长褙子吊带,https://img.alicdn.com/i4/2200731114973/O1CN01FnNEpm1mbgDxgGtnf_!!2200731114973.jpg,http://item.taobao.com/item.htm?id=614066001169,梦幻卿愿汉服二号店,148,10,4.95,6.34,甜人阁古装汉服店,https://s.click.taobao.com/Gannghv,https://s.click.taobao.com/t?e=m%3D2%26s%3D5iLqI79Gd6Rw4vFB6t2Z2ueEDrYVVa64juWlisr3dOdyINtkUhsv0MIHNfg1e3d6DhMXFvQbiGTtCmfOQUcFIlSwgggofB32be0285%2FWpbJH8YQcwA8a%2FBrCMvRnLmmTUyNpxLfgKr0jWpzpm6nECz5zV%2FUUhZlfmLq%2FcWnDcuXMggGKoLHp0VFwVjZD2h55IYULNg46oBA%3D&union_lens=lensId%3AOPT%401590339021%400b5c327f_1064_1724797aad7_c73a%4001,￥sXYu1JOXQ7S￥,1000,989,20.0,2020-05-09 00:00:00,2020-05-31 23:59:59,https://uland.taobao.com/coupon/edetail?e=s%2FMrpwVg3ZwNfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoJ5Q6WYgIOT0qD6l9GesiD1HeA8%2BaPp3Fgd8r%2BZmzsAVawbAntFj%2BXYEHpTAWQ%2BSRFp4exEq6u%2FYUDsFFL2S7G2RZrpy0%2FCKX%2BtUAWjn%2BOknP22e3eRtrr%2Fe6hVwoPYqIy%2Fczxa%2BhjACyzc2MbXbIJF2yyKL%2FuyTAI%3D&&app_pvid=59590_11.92.50.127_539_1590339021307&ptl=floorId:31507;app_pvid:59590_11.92.50.127_539_1590339021307;tpp_pvid:&union_lens=lensId%3AOPT%401590339021%400b5c327f_1064_1724797aad7_c73a%4001,￥cUV61JOcyQI￥,https://s.click.taobao.com/H3mnghv,否,,,,,
616824158652,月华楼花月露原创明制汉服女薄款红色立领对襟绣花吊带长衫三件套,https://img.alicdn.com/i3/1085397029/O1CN01IB5SSE21nKXsjS3Tn_!!1085397029.jpg,http://item.taobao.com/item.htm?id=616824158652,月华楼汉服,188,4,1.5,2.52,叶砺锋,https://s.click.taobao.com/R9fnghv,https://s.click.taobao.com/t?e=m%3D2%26s%3Dd8ZlKxg75wFw4vFB6t2Z2ueEDrYVVa64juWlisr3dOdyINtkUhsv0MIHNfg1e3d6DhMXFvQbiGTtCmfOQUcFIlSwgggofB32be0285%2FWpbJH8YQcwA8a%2FBrCMvRnLmmTUyNpxLfgKr0jWpzpm6nEC6ZyTj8FP%2FOCy4EkZAgt%2FVAkD8ozknIgD9nzmGojxuZjomfkDJRs%2BhU%3D&union_lens=lensId%3AOPT%401590339021%400b5c327f_1064_1724797ab1a_c747%4001,￥ajYg1JOXNLh￥,1000,992,20.0,2020-05-21 00:00:00,2020-05-28 23:59:59,https://uland.taobao.com/coupon/edetail?e=Tsilv0WD6M0NfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoK2KF6lOi7pZay0R0yYVA%2BRuq1lgFMsSPDYdUnYMp7I9muFqp8TFaHMNg4Gqf8CT4BCOKBX75IEW9t6elv%2FOyHPmMHpNfYdHdD%2FawWiow74mICnqiGk4FiOLJ3bdz5Kbzzmt4OzLcG%2BoXaC54LfKGbLonv6QcvcARY%3D&&app_pvid=59590_11.92.50.127_539_1590339021307&ptl=floorId:31507;app_pvid:59590_11.92.50.127_539_1590339021307;tpp_pvid:&union_lens=lensId%3AOPT%401590339021%400b5c327f_1064_1724797ab1a_c747%4001,￥XszY1JOcvHt￥,https://s.click.taobao.com/3Shnghv,否,,,,,
618537357388,月华楼白菜原创明制立领长衫套装夏季薄款汉服女刺绣一片式裙子,https://img.alicdn.com/i2/1085397029/O1CN01vRNDMz21nKXyvsn5O_!!1085397029.jpg,http://item.taobao.com/item.htm?id=618537357388,月华楼汉服,188,0,1.5,2.52,叶砺锋,https://s.click.taobao.com/qJnnghv,https://s.click.taobao.com/t?e=m%3D2%26s%3DA5Fz7ZCFP6lw4vFB6t2Z2ueEDrYVVa64juWlisr3dOdyINtkUhsv0MIHNfg1e3d6DhMXFvQbiGTtCmfOQUcFIlSwgggofB32be0285%2FWpbJH8YQcwA8a%2FBrCMvRnLmmTUyNpxLfgKr0jWpzpm6nEC6ZyTj8FP%2FOCy4EkZAgt%2FVCxJILau%2FCRyz3mCYESiPUkomfkDJRs%2BhU%3D&union_lens=lensId%3AOPT%401590339021%400b5c327f_1064_1724797ab54_c748%4001,￥QMio1JOXe5K￥,1000,992,20.0,2020-05-21 00:00:00,2020-05-28 23:59:59,https://uland.taobao.com/coupon/edetail?e=YRzskZT4vmYNfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoKK3rAlEDiagaXB%2BG0pdy6euq1lgFMsSPDYdUnYMp7I9muFqp8TFaHMNg4Gqf8CT4B%2BjJnrC%2FSE1WJjOC%2FAvuFAmMHpNfYdHdD%2FawWiow74mICnqiGk4FiOLJ3bdz5Kbzzmt4OzLcG%2BoXaC54LfKGbLonv6QcvcARY%3D&&app_pvid=59590_11.92.50.127_539_1590339021307&ptl=floorId:31507;app_pvid:59590_11.92.50.127_539_1590339021307;tpp_pvid:&union_lens=lensId%3AOPT%401590339021%400b5c327f_1064_1724797ab54_c748%4001,￥8Pff1JOcIHO￥,https://s.click.taobao.com/pJnnghv,否,,,,,
603678458831,宸汐缘同款古装女魏晋风齐腰襦裙超仙飘逸古风学生汉服日常情侣装,https://img.alicdn.com/i4/2901406637/O1CN018BWTNv1ytnHr2LEDu_!!2901406637.jpg,http://item.taobao.com/item.htm?id=603678458831,锦衣学院风,389,1,4.5,16.61,锦衣学院派,https://s.click.taobao.com/Ptenghv,https://s.click.taobao.com/t?e=m%3D2%26s%3D4yzjuv%2Fj48Rw4vFB6t2Z2ueEDrYVVa64juWlisr3dOdyINtkUhsv0MIHNfg1e3d6DhMXFvQbiGTtCmfOQUcFIlSwgggofB32be0285%2FWpbJH8YQcwA8a%2FBrCMvRnLmmTUyNpxLfgKr0jWpzpm6nEC96nPXAUW2WWBn%2FSjUlSj%2FuUKQZPihm4jsBu9%2B9qKWZHomfkDJRs%2BhU%3D&union_lens=lensId%3AOPT%401590339021%400b5c327f_1064_1724797ab82_c7af%4001,￥3NJn1JOXXSl￥,1000,997,20.0,2020-05-08 00:00:00,2020-06-30 23:59:59,https://uland.taobao.com/coupon/edetail?e=FxwzXyeOBmkNfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoKz0njVQTrzjBfg7d1BuKAsTbCaXWWveXb3NlSkc81bBmuFqp8TFaHMNg4Gqf8CT4Aj4Lg1b%2FF7qDQAqkvIh58gmMHpNfYdHdD%2FawWiow74mICnqiGk4FiOLJ3bdz5Kbzzmt4OzLcG%2BoXaC54LfKGbLonv6QcvcARY%3D&&app_pvid=59590_11.92.50.127_539_1590339021307&ptl=floorId:31507;app_pvid:59590_11.92.50.127_539_1590339021307;tpp_pvid:&union_lens=lensId%3AOPT%401590339021%400b5c327f_1064_1724797ab82_c7af%4001,￥a76M1JOX4L0￥,https://s.click.taobao.com/IAgnghv,否,,,,,
613177302214,【--】汉服女中国风绝版经典红色花嫁古装齐胸襦裙日常,https://img.alicdn.com/i4/4255146029/O1CN012hScr71uPKT4RLWwK_!!0-item_pic.jpg,http://item.taobao.com/item.htm?id=613177302214,u[4255146029],348.5,0,18,53.73,文礼文品,https://s.click.taobao.com/Otenghv,https://s.click.taobao.com/t?e=m%3D2%26s%3D90xK9yy0lK5w4vFB6t2Z2ueEDrYVVa64juWlisr3dOdyINtkUhsv0MIHNfg1e3d6DhMXFvQbiGTtCmfOQUcFIlSwgggofB32be0285%2FWpbJH8YQcwA8a%2FBrCMvRnLmmTUyNpxLfgKr0jWpzpm6nEC7OZIEcBCDksAXw%2BTDbYm0s9L%2FZVMt7%2FhJ%2BstTaSilkhomfkDJRs%2BhU%3D&union_lens=lensId%3AOPT%401590339021%400b5c327f_1064_1724797abbe_c7b0%4001,￥sZlu1JOcrVH￥,50000,49978,50.0,2020-05-19 00:00:00,2020-07-17 23:59:59,https://uland.taobao.com/coupon/edetail?e=AB96NkAXrnANfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoLVuOGoni248fv4LkcD7FUCThuWFoQRsP7YdUnYMp7I9muFqp8TFaHMNg4Gqf8CT4C9f0M%2BifDwqZv3TZa9hrQgmMHpNfYdHdD%2FawWiow74mICnqiGk4FiOLJ3bdz5Kbzzmt4OzLcG%2BoXaC54LfKGbLonv6QcvcARY%3D&&app_pvid=59590_11.92.50.127_539_1590339021307&ptl=floorId:31507;app_pvid:59590_11.92.50.127_539_1590339021307;tpp_pvid:&union_lens=lensId%3AOPT%401590339021%400b5c327f_1064_1724797abbe_c7b0%4001,￥0nMQ1JOcRg5￥,https://s.click.taobao.com/M9fnghv,否,,,,,
618180325032,汉服女古装学生改良夜芙蕖超仙古风仙气飘逸汉服青雀鲛人泪襦裙,https://img.alicdn.com/i2/175754641/TB13clxzxn1gK0jSZKPq6xvUXXa?_!!0-item_pic.jpg,http://item.taobao.com/item.htm?id=618180325032,全球百货城168,460.22,0,18,77.44,周舟精品店,https://s.click.taobao.com/g3pnghv,https://s.click.taobao.com/t?e=m%3D2%26s%3DtxtESLkKIb1w4vFB6t2Z2ueEDrYVVa64juWlisr3dOdyINtkUhsv0MIHNfg1e3d6DhMXFvQbiGTtCmfOQUcFIlSwgggofB32be0285%2FWpbJH8YQcwA8a%2FBrCMvRnLmmTUyNpxLfgKr0jWpzpm6nEC6LQg%2F9h8EsVq%2B6morLdA4R8FmZKGJVKn%2BcHGSmsHc0FIYULNg46oBA%3D&union_lens=lensId%3AOPT%401590339021%400b5c327f_1064_1724797ac00_c7be%4001,￥a4Jc1JOX7jA￥,9999,9995,30.0,2020-05-15 00:00:00,2020-07-14 23:59:59,https://uland.taobao.com/coupon/edetail?e=VnyX1z%2BIE%2F8NfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoIwCpIR5XvQR%2FgtMjIUnXfc1smnjKgbwc5RUWZERe7bSawbAntFj%2BXYEHpTAWQ%2BSRFp4exEq6u%2FYTMYd2TzaP%2BGXkKQySOujLqtUAWjn%2BOknP22e3eRtrr%2Fe6hVwoPYqIy%2Fczxa%2BhjACyzc2MbXbIJF2yyKL%2FuyTAI%3D&&app_pvid=59590_11.92.50.127_539_1590339021307&ptl=floorId:31507;app_pvid:59590_11.92.50.127_539_1590339021307;tpp_pvid:&union_lens=lensId%3AOPT%401590339021%400b5c327f_1064_1724797ac00_c7be%4001,￥Vzky1JOXjMa￥,https://s.click.taobao.com/sDinghv,否,,,,,
615399772976,古装女衬衫汉服衣服超仙明朝仙女白春秋款初中生姐妹古典大袖2019,https://img.alicdn.com/i2/175754641/TB15Z0ym4D1gK0jSZFyq6AiOVXa?_!!0-item_pic.jpg,http://item.taobao.com/item.htm?id=615399772976,万达优品1号店168,203.4,0,18,33.01,tb564252870,https://s.click.taobao.com/UImnghv,https://s.click.taobao.com/t?e=m%3D2%26s%3DQMiupvmQaHJw4vFB6t2Z2ueEDrYVVa64juWlisr3dOdyINtkUhsv0MIHNfg1e3d6DhMXFvQbiGTtCmfOQUcFIlSwgggofB32be0285%2FWpbJH8YQcwA8a%2FBrCMvRnLmmTUyNpxLfgKr0jWpzpm6nECzao1eop396xdl1%2FWNvTlWvjUNi7q5lTXQvwlHqTOAvyIYULNg46oBA%3D&union_lens=lensId%3AOPT%401590339021%400b5c327f_1064_1724797ac3c_c7bf%4001,￥wqOe1JOcDwM￥,9999,9988,20.0,2020-05-05 00:00:00,2020-07-03 23:59:59,https://uland.taobao.com/coupon/edetail?e=4pKvoH5c7ZANfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoIJ96AOAwcAwf5Yp99RAHcgAGKJKxga1z5GL7swF8WsbawbAntFj%2BXYEHpTAWQ%2BSRFp4exEq6u%2FYUV2xtxKpgP9oumU%2BFiUEVKtUAWjn%2BOknP22e3eRtrr%2Fe6hVwoPYqIy%2Fczxa%2BhjACyzc2MbXbIJF2yyKL%2FuyTAI%3D&&app_pvid=59590_11.92.50.127_539_1590339021307&ptl=floorId:31507;app_pvid:59590_11.92.50.127_539_1590339021307;tpp_pvid:&union_lens=lensId%3AOPT%401590339021%400b5c327f_1064_1724797ac3c_c7bf%4001,￥FVgH1JOXeue￥,https://s.click.taobao.com/8ljnghv,否,,,,,
