商品id,商品名称,商品主图,商品详情页链接地址,店铺名称,商品价格(单位：元),商品月销量,收入比率(%),佣金,卖家旺旺,淘宝客短链接(300天内有效),淘宝客链接,淘口令(30天内有效),优惠券总量,优惠券剩余量,优惠券面额,优惠券开始时间,优惠券结束时间,优惠券链接,优惠券淘口令(30天内有效),优惠券短链接(300天内有效),是否为营销计划商品,成团人数,成团价,成团佣金,拼团开始时间,拼团结束时间
615498366852,正统jk制服学生校服森系风琴褶软妹 刺绣 衬衫圆领长袖,https://img.alicdn.com/i4/2201523125092/O1CN01MKsNHI1nUBMMdpkVL_!!0-item_pic.jpg,http://item.taobao.com/item.htm?id=615498366852,u[2201523125092],154.8,0,18,18.86,瀑布和诗一样飘千年,https://s.click.taobao.com/wtYmghv,https://s.click.taobao.com/t?e=m%3D2%26s%3D8Paws5AkN1dw4vFB6t2Z2ueEDrYVVa64juWlisr3dOdyINtkUhsv0MIHNfg1e3d65fEWoqfF7ZztCmfOQUcFIlSwgggofB32be0285%2FWpbJH8YQcwA8a%2FBrCMvRnLmmTUyNpxLfgKr0jWpzpm6nEC%2FQ1KGIaYqJyKVybchuFTXGa95zqIm3er9y32%2F79AvOdIYULNg46oBA%3D&union_lens=lensId%3AOPT%401590339730%400b579755_0ede_17247a27a93_0be0%4001,￥m7Yu1JOVfSO￥,2000,1961,50.0,2020-05-19 00:00:00,2020-06-01 23:59:59,https://uland.taobao.com/coupon/edetail?e=ISJiVWkQsPUNfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoLCiFXEy7zqanaQ0Tw%2Ff0uJ71vjrpdlGL0OLh9KaG7y6qwbAntFj%2BXYEHpTAWQ%2BSRFp4exEq6u%2FYQmiheR3Yi6QGLeQyFUGLwGtUAWjn%2BOknP22e3eRtrr%2Fe6hVwoPYqIy%2Fczxa%2BhjACyzc2MbXbIJF2yyKL%2FuyTAI%3D&&app_pvid=59590_11.87.151.85_527_1590339730010&ptl=floorId:31507;app_pvid:59590_11.87.151.85_527_1590339730010;tpp_pvid:&union_lens=lensId%3AOPT%401590339730%400b579755_0ede_17247a27a93_0be0%4001,￥BuP71JOVYV0￥,https://s.click.taobao.com/0OWmghv,否,,,,,
616604593623,大码不规则开叉格子半身裙春2020年春季短裙遮胯裙子显瘦 jk格裙,https://img.alicdn.com/i4/2200788655176/O1CN01F5y9kn1o6edJgLxYp_!!2200788655176.jpg,http://item.taobao.com/item.htm?id=616604593623,u[2200788655176],134.6,0,6,5.68,利福润ya,https://s.click.taobao.com/kuZmghv,https://s.click.taobao.com/t?e=m%3D2%26s%3DS6mejZmLrLlw4vFB6t2Z2ueEDrYVVa64juWlisr3dOdyINtkUhsv0MIHNfg1e3d65fEWoqfF7ZztCmfOQUcFIlSwgggofB32be0285%2FWpbJH8YQcwA8a%2FBrCMvRnLmmTUyNpxLfgKr0jWpzpm6nEC5TDMoZokfFXLshWQFr1W84wNPK4OqiTvUosuv%2FlXMjcIYULNg46oBA%3D&union_lens=lensId%3AOPT%401590339730%400b579755_0ede_17247a27ad7_0c5d%4001,￥iGgq1JOeQhq￥,20000,19678,40.0,2020-04-30 00:00:00,2020-06-29 23:59:59,https://uland.taobao.com/coupon/edetail?e=9g%2BPC5%2BJLhUNfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoJA01mAZ7e%2FJD4lYO5kNOzSmMy1PZ3%2Fs%2FTgncdl2nia%2BqwbAntFj%2BXYEHpTAWQ%2BSRFp4exEq6u%2FYbiWxzx7Qg6YYsMxrBE0VaqtUAWjn%2BOknP22e3eRtrr%2Fe6hVwoPYqIy%2Fczxa%2BhjACyzc2MbXbIJF2yyKL%2FuyTAI%3D&&app_pvid=59590_11.87.151.85_527_1590339730010&ptl=floorId:31507;app_pvid:59590_11.87.151.85_527_1590339730010;tpp_pvid:&union_lens=lensId%3AOPT%401590339730%400b579755_0ede_17247a27ad7_0c5d%4001,￥JmY51JOeSxD￥,https://s.click.taobao.com/wDcmghv,否,,,,,
617363414279,jk格裙夏 电竞少女jk高腰半身裙短裙韩版黑色半身裙女显瘦,https://img.alicdn.com/i1/2200825299284/O1CN012sdsbj2IS7fyxkFTl_!!2200825299284-0-pixelsss.jpg,http://item.taobao.com/item.htm?id=617363414279,云裳绵航舰店,98,0,4.5,2.84,金风飒飒星月交辉,https://s.click.taobao.com/VAZmghv,https://s.click.taobao.com/t?e=m%3D2%26s%3D%2BZJCvhAEHRtw4vFB6t2Z2ueEDrYVVa64juWlisr3dOdyINtkUhsv0MIHNfg1e3d65fEWoqfF7ZztCmfOQUcFIlSwgggofB32be0285%2FWpbJH8YQcwA8a%2FBrCMvRnLmmTUyNpxLfgKr0jWpzpm6nEC7LKXsYg9wHSibTYL3gABB1cfm37xb4PJSfo7erkllkgqN%2BWo2QDqeSiZ%2BQMlGz6FQ%3D%3D&union_lens=lensId%3AOPT%401590339730%400b579755_0ede_17247a27b08_0c5e%4001,￥L9bz1JOe5AN￥,10000,10000,35.0,2020-05-22 00:00:00,2020-05-31 23:59:59,https://uland.taobao.com/coupon/edetail?e=gIYdclcL9fMNfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoLU5ddW33eo8Gsxa%2FSbCPYbQkP6wkWpj4XsQ95X09HMDemFKyIN1bVX65OH1WfUm95Uf2TiFOebexg2SXYqcj1FpON2u0oe5vytUAWjn%2BOknP22e3eRtrr%2Fe6hVwoPYqIy%2Fczxa%2BhjACyzc2MbXbIJF2yyKL%2FuyTAI%3D&&app_pvid=59590_11.87.151.85_527_1590339730010&ptl=floorId:31507;app_pvid:59590_11.87.151.85_527_1590339730010;tpp_pvid:&union_lens=lensId%3AOPT%401590339730%400b579755_0ede_17247a27b08_0c5e%4001,￥A2PW1JOe2pH￥,https://s.click.taobao.com/xhbmghv,是,,,,,
615479048030,奶白金二本正统jk长袖水手服中间服套装,https://img.alicdn.com/i3/2201443443111/O1CN01DIXy3H1YqskqfRiyv_!!2201443443111.jpg,http://item.taobao.com/item.htm?id=615479048030,青屏妙彤百货店,336,0,18,51.48,青屏妙彤,https://s.click.taobao.com/Tkdmghv,https://s.click.taobao.com/t?e=m%3D2%26s%3Dwtzm9l2OCndw4vFB6t2Z2ueEDrYVVa64juWlisr3dOdyINtkUhsv0MIHNfg1e3d65fEWoqfF7ZztCmfOQUcFIlSwgggofB32be0285%2FWpbJH8YQcwA8a%2FBrCMvRnLmmTUyNpxLfgKr0jWpzpm6nEC9rvvyP3zmXKlnviZc0XyllwPRZ75Azm7sc%2FBdU0WD4zIYULNg46oBA%3D&union_lens=lensId%3AOPT%401590339730%400b579755_0ede_17247a27b4f_0c5f%4001,￥8fze1JOV3Ar￥,9999,9937,50.0,2020-04-25 00:00:00,2020-06-24 23:59:59,https://uland.taobao.com/coupon/edetail?e=orv8xBUBgdQNfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoI0BWMf%2BYH3CARbTN4ta1SE%2Fle2TeT%2FK675Kr3vE%2ByXlKwbAntFj%2BXYEHpTAWQ%2BSRFp4exEq6u%2FYQ8HVHm8tX1NJVI%2BPGHzjbKtUAWjn%2BOknP22e3eRtrr%2Fe6hVwoPYqIy%2Fczxa%2BhjACyzc2MbXbIJF2yyKL%2FuyTAI%3D&&app_pvid=59590_11.87.151.85_527_1590339730010&ptl=floorId:31507;app_pvid:59590_11.87.151.85_527_1590339730010;tpp_pvid:&union_lens=lensId%3AOPT%401590339730%400b579755_0ede_17247a27b4f_0c5f%4001,￥wXEE1JOeCXu￥,https://s.click.taobao.com/wwamghv,否,,,,,
618055310448,格子百褶裙短裙2020女春夏新款显瘦学院风日系jk制服a字半身裙裤,https://img.alicdn.com/i4/3941617312/O1CN015WmbTY23swdIOmPTF_!!3941617312.jpg,http://item.taobao.com/item.htm?id=618055310448,金萌萌JMM,209.79,0,6,10.79,tb433231025,https://s.click.taobao.com/4Hfmghv,https://s.click.taobao.com/t?e=m%3D2%26s%3DlEglpxYCE8Vw4vFB6t2Z2ueEDrYVVa64juWlisr3dOdyINtkUhsv0MIHNfg1e3d65fEWoqfF7ZztCmfOQUcFIlSwgggofB32be0285%2FWpbJH8YQcwA8a%2FBrCMvRnLmmTUyNpxLfgKr0jWpzpm6nEC9WR8alIPFUngDu3o9UYurQ%2B%2FKdfKRyFeg41OUxmYsjKxgxdTc00KD8%3D&union_lens=lensId%3AOPT%401590339730%400b579755_0ede_17247a27b89_0c60%4001,￥zIZS1JOVVu5￥,3300,3129,30.0,2020-03-30 00:00:00,2020-05-29 23:59:59,https://uland.taobao.com/coupon/edetail?e=oVPjfwvCW1cNfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoK%2BVsR2GVf8OW6oWlymT2FZszosx53C1O6mojCNSWtKqMuRTiT9oEhVZV8pr6FWc0PVsjYWg8TMpEbCT0wEz8dlmMHpNfYdHdD%2FawWiow74mICnqiGk4FiOLJ3bdz5Kbzzmt4OzLcG%2BoXaC54LfKGbLonv6QcvcARY%3D&&app_pvid=59590_11.87.151.85_527_1590339730010&ptl=floorId:31507;app_pvid:59590_11.87.151.85_527_1590339730010;tpp_pvid:&union_lens=lensId%3AOPT%401590339730%400b579755_0ede_17247a27b89_0c60%4001,￥dED71JOVdxx￥,https://s.click.taobao.com/0gXmghv,是,,,,,
616949307036,lo袜洛丽塔袜子jk袜子短可爱夏天堆堆袜个性薄款公主花边袜子少女,https://img.alicdn.com/i2/2206983530801/O1CN01K3dkXy1xHUXryNJq6-1878526418.jpg,http://item.taobao.com/item.htm?id=616949307036,d[s350177427],74.27,0,18.09,6.20,tb014194409,https://s.click.taobao.com/MTcmghv,https://s.click.taobao.com/t?e=m%3D2%26s%3Do5Dj%2FZXUEthw4vFB6t2Z2ueEDrYVVa64juWlisr3dOdyINtkUhsv0MIHNfg1e3d65fEWoqfF7ZztCmfOQUcFIlSwgggofB32be0285%2FWpbJH8YQcwA8a%2FBrCMvRnLmmTUyNpxLfgKr0jWpzpm6nEC6oehrx84szbN481rKQcBCQlBQrWcnod7HqR%2FTn9hMVaIYULNg46oBA%3D&union_lens=lensId%3AOPT%401590339730%400b579755_0ede_17247a27bb4_0c61%4001,￥oeNZ1JOV0pB￥,100000,99815,40.0,2020-05-15 00:00:00,2020-06-29 23:59:59,https://uland.taobao.com/coupon/edetail?e=a5TBYkyFsDQNfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoIrpplYYxzidC3SRW4Q5%2F%2FRw6OB%2BUf4FhRxYwT4SPsjRKwbAntFj%2BXYEHpTAWQ%2BSRFp4exEq6u%2FYcPp%2BWgT2%2FBaXFNvGt2iZJ%2BtUAWjn%2BOknP22e3eRtrr%2Fe6hVwoPYqIy%2Fczxa%2BhjACyzc2MbXbIJF2yyKL%2FuyTAI%3D&&app_pvid=59590_11.87.151.85_527_1590339730010&ptl=floorId:31507;app_pvid:59590_11.87.151.85_527_1590339730010;tpp_pvid:&union_lens=lensId%3AOPT%401590339730%400b579755_0ede_17247a27bb4_0c61%4001,￥FFmm1JOePeI￥,https://s.click.taobao.com/Y8Wmghv,否,,,,,
618920171436,正统JK制服配饰日系学院温柔一j刀手打领带女夏小清新学生格子领,https://img.alicdn.com/i1/2206639619596/O1CN01ny0kAp2Kl1FPgyrUd_!!2206639619596.jpg,http://item.taobao.com/item.htm?id=618920171436,幸福里小店,67.5,0,13.5,6.41,tb427057252,https://s.click.taobao.com/hgamghv,https://s.click.taobao.com/t?e=m%3D2%26s%3DE2374bsxQgdw4vFB6t2Z2ueEDrYVVa64juWlisr3dOdyINtkUhsv0MIHNfg1e3d65fEWoqfF7ZztCmfOQUcFIlSwgggofB32be0285%2FWpbJH8YQcwA8a%2FBrCMvRnLmmTUyNpxLfgKr0jWpzpm6nEC7WjKoGUbwiC6J6TCHM6LyN4I0xS0cBiwdiPEcEeDiJ0IYULNg46oBA%3D&union_lens=lensId%3AOPT%401590339730%400b579755_0ede_17247a27be2_0cc8%4001,￥m0kw1JOeA5O￥,9999,8217,20.0,2020-04-12 00:00:00,2020-06-11 23:59:59,https://uland.taobao.com/coupon/edetail?e=HjSBDWDTNvcNfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoKXTxOV%2Bwp%2F5nA3Mfrx9SxS86iQkJwi3pvW0ofbKYiR9KwbAntFj%2BXYEHpTAWQ%2BSRFp4exEq6u%2FYZ4nZXKRiSDd8QxB29ywFgmtUAWjn%2BOknP22e3eRtrr%2Fe6hVwoPYqIy%2Fczxa%2BhjACyzc2MbXbIJF2yyKL%2FuyTAI%3D&&app_pvid=59590_11.87.151.85_527_1590339730010&ptl=floorId:31507;app_pvid:59590_11.87.151.85_527_1590339730010;tpp_pvid:&union_lens=lensId%3AOPT%401590339730%400b579755_0ede_17247a27be2_0cc8%4001,￥ew3A1JOVaTG￥,https://s.click.taobao.com/20emghv,否,,,,,
616160151984,2020新款格子短裙时尚百搭学院风JK制服百褶裙简约裤裙 迷你A字裙,https://img.alicdn.com/i2/2647254159/O1CN01TgW8Ah1garq6zraEh_!!0-item_pic.jpg,http://item.taobao.com/item.htm?id=616160151984,BE官方品牌店,158,0,4.5,5.76,北欧斯_老何,https://s.click.taobao.com/fgamghv,https://s.click.taobao.com/t?e=m%3D2%26s%3DlgD7tBgYfMhw4vFB6t2Z2ueEDrYVVa64juWlisr3dOdyINtkUhsv0MIHNfg1e3d65fEWoqfF7ZztCmfOQUcFIlSwgggofB32be0285%2FWpbJH8YQcwA8a%2FBrCMvRnLmmTUyNpxLfgKr0jWpzpm6nEC%2FPTHI9tlYERCbDQ5RieMIXe0yyMusfVfya%2B1kf0eynVomfkDJRs%2BhU%3D&union_lens=lensId%3AOPT%401590339730%400b579755_0ede_17247a27c22_0d3b%4001,￥SLEY1JOe34O￥,30000,29891,30.0,2020-04-15 00:00:00,2020-05-31 23:59:59,https://uland.taobao.com/coupon/edetail?e=Vez8woBiL%2BMNfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoJQKOe%2B%2FuCICPk8mMTKb46moEjoj4TvXOm%2FXRGfsyDNNGuFqp8TFaHMNg4Gqf8CT4Dr%2FS5Oi6buxZcLpZuvfr2xmMHpNfYdHdD%2FawWiow74mICnqiGk4FiOLJ3bdz5Kbzzmt4OzLcG%2BoXaC54LfKGbLonv6QcvcARY%3D&&app_pvid=59590_11.87.151.85_527_1590339730010&ptl=floorId:31507;app_pvid:59590_11.87.151.85_527_1590339730010;tpp_pvid:&union_lens=lensId%3AOPT%401590339730%400b579755_0ede_17247a27c22_0d3b%4001,￥wWcL1JOexwg￥,https://s.click.taobao.com/V4hmghv,否,,,,,
617487111566,正统日系JK夏季新款制服原创百褶格裙【花间舞】LOLO学院现货掉落,https://img.alicdn.com/i1/1696095953/O1CN01qmqAhh1tqWNkYEyy7_!!1696095953.jpg,http://item.taobao.com/item.htm?id=617487111566,LOLO学院JK制服,119,27,3.6,3.56,许诺81,https://s.click.taobao.com/Jybmghv,https://s.click.taobao.com/t?e=m%3D2%26s%3Dj7gE5D59HfFw4vFB6t2Z2ueEDrYVVa64juWlisr3dOdyINtkUhsv0MIHNfg1e3d65fEWoqfF7ZztCmfOQUcFIlSwgggofB32be0285%2FWpbJH8YQcwA8a%2FBrCMvRnLmmTUyNpxLfgKr0jWpzpm6nEC2rWaut%2FhqKQoBc%2F6CsN7Ufwo%2FSVDsHMj8M7KGYLGa5sxgxdTc00KD8%3D&union_lens=lensId%3AOPT%401590339730%400b579755_0ede_17247a27c6d_0d3c%4001,￥9EVI1JOe34m￥,1000,927,20.0,2020-05-15 00:00:00,2020-05-25 23:59:59,https://uland.taobao.com/coupon/edetail?e=rr5yOE3Y44INfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoKIFW9rvq6%2ForFyv51gRL%2BKuzs0X51O9lB41pORvOCzZcuRTiT9oEhVZV8pr6FWc0OhZxPjf8o8tWYkJfSLfSDymMHpNfYdHdD%2FawWiow74mICnqiGk4FiOLJ3bdz5Kbzzmt4OzLcG%2BoXaC54LfKGbLonv6QcvcARY%3D&&app_pvid=59590_11.87.151.85_527_1590339730010&ptl=floorId:31507;app_pvid:59590_11.87.151.85_527_1590339730010;tpp_pvid:&union_lens=lensId%3AOPT%401590339730%400b579755_0ede_17247a27c6d_0d3c%4001,￥HyCc1JOeGwW￥,https://s.click.taobao.com/MFemghv,是,,,,,
614310750275,压力瘦腿过膝袜女jk夏秋显瘦高筒袜日系小腿及膝长筒袜子女潮长袜,https://img.alicdn.com/i2/2207280206415/O1CN01KgfBuk1xG7Lw5W7Lh_!!0-item_pic.jpg,http://item.taobao.com/item.htm?id=614310750275,冀承旗舰店,345.6,0,4.5,14.20,冀承旗舰店,https://s.click.taobao.com/gPXmghv,https://s.click.taobao.com/t?e=m%3D2%26s%3DnH6ByEEVfX9w4vFB6t2Z2ueEDrYVVa64Dne87AjQPk9yINtkUhsv0MIHNfg1e3d65fEWoqfF7ZztCmfOQUcFIlSwgggofB32be0285%2FWpbJH8YQcwA8a%2FBrCMvRnLmmTUyNpxLfgKr0jWpzpm6nEC%2B5%2F62m9xe4%2FkYuxfZjLThJMZTEXL90OljWJWiUYWc7gIYULNg46oBA%3D&union_lens=lensId%3AOPT%401590339730%400b579755_0ede_17247a27cac_0d3d%4001,￥JP1i1JOeHOE￥,6666,6623,30.0,2020-05-17 00:00:00,2020-06-17 23:59:59,https://uland.taobao.com/coupon/edetail?e=cl2VNsVZzhUNfLV8niU3R5TgU2jJNKOfNNtsjZw%2F%2FoLYTMQj6Jze0zMPRfDcmQg13Vm9nwXynGa3ePRFqp6MzqwbAntFj%2BXYEHpTAWQ%2BSRFp4exEq6u%2FYQs1%2FElRKpXWs3dNgIAkl3OtUAWjn%2BOknP22e3eRtrr%2Fe6hVwoPYqIy%2Fczxa%2BhjACyzc2MbXbIJFVW6yqqeGJ%2FI%3D&&app_pvid=59590_11.87.151.85_527_1590339730010&ptl=floorId:31507;app_pvid:59590_11.87.151.85_527_1590339730010;tpp_pvid:&union_lens=lensId%3AOPT%401590339730%400b579755_0ede_17247a27cac_0d3d%4001,￥lPae1JOe5AM￥,https://s.click.taobao.com/d1fmghv,否,,,,,
